fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Steven Peterson,1473,1473,1473,0.043478261,0.261,22.609,0.435,0.261,67.87,0.043,22.609,0.435,0.261,0.043,6,7,5,602,1491,3,45,4.76,1.42,0.12,5.94,0.71,23,8,2.88
Jose Maria,1473,1473,1473,0.0,0.6,12.4,0.6,0.6,25.8,0.0,12.4,0.6,0.6,0.0,0,0,0,62,116,13,11,3.2,2.32,0.0,3.98,2.32,5,2,2.5
Richard Walsh,1473,1470,1472,0.1875,0.063,18.563,0.5,0.063,86.938,0.188,18.563,0.5,0.063,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,16,6,2.67
Kendall Grove,1473,1490,1480,0.074074074,0.63,9.741,0.185,0.63,40.852,0.074,9.741,0.185,0.63,0.148,0,0,0,263,586,13,8,2.14,0.61,0.24,2.98,2.07,27,13,2.08
Will Brooks,1473,1473,1473,0.0,0.111,16.556,0.778,0.111,60.333,0.0,16.556,0.778,0.111,0.0,0,0,0,493,835,7,31,4.26,2.08,0.0,2.54,0.26,9,4,2.25
Rob Wilkinson,1473,1473,1473,0.0,0.0,11.5,1.25,0.0,96.0,0.0,11.5,1.25,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,4,2,2.0
James Moontasri,1473,1471,1472,0.153846154,0.077,10.923,0.0,0.077,42.923,0.154,10.923,0.0,0.077,0.0,0,0,0,142,290,13,1,2.39,0.0,0.51,3.86,0.25,13,6,2.17
Martin Bravo,1473,1487,1479,0.125,0.0,27.625,0.625,0.0,32.625,0.125,27.625,0.625,0.0,0.0,5,5,0,221,559,3,14,7.66,2.6,0.52,5.72,0.0,8,4,2.0
Jason Young,1473,1473,1473,0.0,0.0,13.5,0.6,0.0,61.2,0.0,13.5,0.6,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,10,4,2.5
Cody East,1473,1473,1473,0.0,0.0,15.667,1.0,0.0,21.0,0.0,15.667,1.0,0.0,0.0,0,0,0,47,109,13,3,4.15,3.97,0.0,7.32,0.0,3,2,1.5
Rosi Sexton,1473,1473,1473,0.0,0.0,20.333,0.333,0.0,66.167,0.0,20.333,0.333,0.0,0.167,0,0,0,132,332,13,20,3.31,0.75,0.0,7.42,0.0,6,2,3.0
Kevin Aguilar,1473,1473,1473,0.0625,0.0,20.0,0.063,0.0,20.125,0.063,20.0,0.063,0.0,0.063,9,2,0,370,924,13,6,3.96,0.16,0.32,4.81,0.0,16,6,2.67
Cody Gibson,1473,1473,1473,0.105263158,0.211,16.368,0.684,0.211,73.211,0.105,16.368,0.684,0.211,0.0,7,6,8,311,704,5,32,3.47,2.18,0.34,3.36,0.67,19,8,2.38
Mariya Agapova,1473,1469,1471,0.181818182,0.273,18.364,0.182,0.273,26.273,0.182,18.364,0.182,0.273,0.091,3,5,6,241,441,2,3,4.43,0.55,0.55,3.62,0.83,11,6,1.83
Marcin Bandel,1473,1473,1473,0.0,0.0,2.0,0.0,0.0,31.667,0.0,2.0,0.0,0.0,0.0,0,0,0,6,12,13,5,0.79,0.0,0.0,5.26,0.0,3,2,1.5
Larissa Pacheco,1472,1472,1472,0.0,0.0,4.667,0.0,0.0,6.333,0.0,4.667,0.0,0.0,0.0,0,0,0,14,73,13,1,1.21,0.0,0.0,4.14,0.0,3,2,1.5
Mark Eddiva,1472,1472,1472,0.0,0.0,15.444,0.444,0.0,85.778,0.0,15.444,0.444,0.0,0.0,0,0,0,139,304,13,18,3.37,1.45,0.0,2.98,0.0,9,4,2.25
Austin Hubbard,1472,1473,1473,0.0,0.0,20.038,0.5,0.0,43.231,0.0,20.038,0.5,0.0,0.077,5,2,2,521,1189,13,38,4.12,1.54,0.0,3.92,0.0,26,10,2.6
Matt Sayles,1472,1472,1472,0.0,0.222,18.556,0.111,0.222,34.222,0.0,18.556,0.111,0.222,0.111,6,1,0,201,481,13,6,4.83,0.36,0.36,2.81,0.72,9,4,2.25
Andre Winner,1472,1456,1466,0.142857143,0.0,12.071,0.0,0.0,33.286,0.143,12.071,0.0,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,14,6,2.33
Tor Troeng,1472,1475,1474,0.0,0.1,5.6,0.2,0.1,96.2,0.0,5.6,0.2,0.1,0.3,0,0,0,56,120,13,26,1.16,0.62,0.0,3.26,0.31,10,4,2.5
Kyle Daukaus,1472,1447,1462,0.0,0.429,13.0,0.643,0.429,118.786,0.0,13.0,0.643,0.429,0.143,0,9,4,250,473,9,43,3.22,2.12,0.0,2.94,1.93,14,7,2.0
Mike Grundy,1472,1488,1478,0.111111111,0.111,9.444,1.222,0.111,45.111,0.111,9.444,1.222,0.111,0.0,1,8,0,85,188,13,39,2.09,4.06,0.37,4.45,0.37,9,4,2.25
Phil Harris,1472,1471,1472,0.0,0.0,10.0,0.5,0.0,28.5,0.0,10.0,0.5,0.0,0.0,0,0,0,100,375,13,23,2.34,1.76,0.0,3.16,0.0,10,5,2.0
Johnny Munoz,1472,1471,1472,0.0,0.533,11.2,0.733,0.533,80.933,0.0,11.2,0.733,0.533,0.0,2,7,6,168,458,4,43,2.44,2.4,0.0,2.66,1.75,15,6,2.5
Marcin Prachnio,1472,1460,1467,0.043478261,0.0,24.87,0.043,0.0,9.913,0.043,24.87,0.043,0.0,0.0,11,0,11,572,1051,13,5,5.57,0.15,0.15,3.24,0.0,23,10,2.3
Kelly Faszholz,1472,1472,1472,0.0,0.0,20.0,0.0,0.0,17.667,0.0,20.0,0.0,0.0,0.0,0,0,0,120,249,13,3,4.01,0.0,0.0,3.61,0.0,6,2,3.0
Yorgan De Castro,1472,1472,1472,0.125,0.0,9.75,0.0,0.0,26.625,0.125,9.75,0.0,0.0,0.0,5,0,0,97,223,13,1,2.46,0.0,0.76,3.85,0.0,8,4,2.0
Alan Omer,1472,1472,1472,0.0,0.0,15.5,0.5,0.0,64.667,0.0,15.5,0.5,0.0,0.0,0,0,0,93,167,13,7,3.49,1.69,0.0,2.21,0.0,6,2,3.0
Damian Stasiak,1472,1472,1472,0.0,0.188,8.563,0.813,0.188,63.438,0.0,8.563,0.813,0.188,0.125,0,0,0,137,377,13,37,1.86,2.64,0.0,3.1,0.61,16,6,2.67
Josh Thomson,1472,1472,1472,0.111111111,0.0,10.944,0.611,0.0,67.389,0.111,10.944,0.611,0.0,0.0,0,0,0,870,1823,13,108,2.59,1.92,0.22,2.12,1.34,18,7,2.57
Mike Lullo,1472,1472,1472,0.0,0.167,10.5,0.333,0.167,49.5,0.0,10.5,0.333,0.167,0.0,0,0,0,63,174,13,18,2.48,1.18,0.0,4.84,0.59,6,2,3.0
Aleksa Camur,1472,1481,1476,0.0,0.0,22.25,0.167,0.0,32.25,0.0,22.25,0.167,0.0,0.0,5,0,3,311,545,1,9,4.73,0.46,0.23,4.26,0.0,12,4,3.0
Luke Sanders,1472,1471,1472,0.25,0.063,26.0,0.188,0.063,42.0,0.25,26.0,0.188,0.063,0.0,8,1,0,416,791,1,10,6.61,0.71,0.95,4.37,0.24,16,8,2.0
Vanessa Melo,1472,1472,1472,0.0,0.0,17.417,0.0,0.0,2.083,0.0,17.417,0.0,0.0,0.0,0,2,0,209,679,13,3,3.48,0.0,0.0,6.13,0.0,12,4,3.0
Renee Forte,1472,1472,1472,0.1,0.0,9.4,0.7,0.0,97.6,0.1,9.4,0.7,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,10,4,2.5
Sam Sicilia,1472,1465,1469,0.04,0.24,10.2,0.4,0.24,58.56,0.04,10.2,0.4,0.24,0.04,0,0,0,255,761,13,23,2.46,1.45,0.14,3.55,0.87,25,12,2.08
Zac Pauga,1472,1472,1472,0.0,0.0,19.444,0.111,0.0,80.111,0.0,19.444,0.111,0.0,0.0,2,0,1,175,278,13,13,4.46,0.38,0.0,2.73,0.0,9,4,2.25
Tamires Vidal,1472,1465,1469,0.1,0.2,12.6,0.0,0.2,31.8,0.1,12.6,0.0,0.2,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,10,4,2.5
Maria Oliveira,1472,1465,1469,0.0,0.0,25.75,0.333,0.0,28.583,0.0,25.75,0.333,0.0,0.0,7,1,6,317,816,13,9,5.03,0.95,0.0,5.76,0.0,12,4,3.0
Eric Shelton,1471,1471,1471,0.0,0.056,12.833,0.944,0.056,63.944,0.0,12.833,0.944,0.056,0.056,2,5,0,231,543,10,33,2.57,2.83,0.0,1.88,0.17,18,6,3.0
Jarno Errens,1471,1483,1476,0.142857143,0.143,18.714,0.0,0.143,3.714,0.143,18.714,0.0,0.143,0.0,3,5,4,161,362,13,7,3.29,0.0,0.61,3.29,0.31,7,3,2.33
Collin Anglin,1471,1471,1471,0.0,0.0,11.0,0.333,0.0,10.333,0.0,11.0,0.333,0.0,0.0,5,0,0,121,249,13,6,4.59,2.28,0.0,5.54,0.0,3,2,1.5
Kay Hansen,1471,1463,1468,0.0,0.25,14.417,0.583,0.25,72.5,0.0,14.417,0.583,0.25,0.0,2,4,0,173,343,5,31,3.01,1.83,0.0,3.19,0.78,12,4,3.0
Anthony Christodoulou,1471,1471,1471,0.0,0.0,8.0,0.0,0.0,9.2,0.0,8.0,0.0,0.0,0.0,0,0,0,40,150,13,1,2.19,0.0,0.0,5.9,0.0,5,2,2.5
Wagner Silva,1471,1471,1471,0.0,0.0,6.6,0.0,0.0,0.4,0.0,6.6,0.0,0.0,0.0,0,0,0,33,111,13,1,1.69,0.0,0.0,2.87,0.0,5,2,2.5
Frankie Perez,1471,1471,1471,0.1,0.1,7.0,0.5,0.1,44.1,0.1,7.0,0.5,0.1,0.0,0,0,0,70,168,5,12,1.64,1.75,0.35,2.17,0.35,10,4,2.5
Austin Arnett,1471,1471,1471,0.0,0.0,18.727,0.182,0.0,38.727,0.0,18.727,0.182,0.0,0.0,7,5,0,311,757,1,11,4.52,0.44,0.0,6.38,0.22,11,4,2.75
Kazuki Tokudome,1471,1471,1471,0.090909091,0.0,10.818,0.636,0.0,118.636,0.091,10.818,0.636,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,11,4,2.75
Kris Moutinho,1471,1471,1471,0.0,0.0,20.25,0.0,0.0,2.25,0.0,20.25,0.0,0.0,0.0,3,1,0,81,248,0,0,4.86,0.0,0.0,15.48,0.0,4,2,2.0
Silvana Gomez Juarez,1471,1471,1471,0.333333333,0.0,16.333,0.0,0.0,13.5,0.333,16.333,0.0,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,6,4,1.5
Carlos Candelario,1471,1471,1471,0.0,0.2,15.6,0.6,0.2,61.4,0.0,15.6,0.6,0.2,0.6,2,3,4,209,446,2,22,3.97,2.28,0.0,5.17,0.28,5,2,2.5
Tucker Lutz,1471,1471,1471,0.0,0.0,16.364,0.636,0.0,66.091,0.0,16.364,0.636,0.0,0.0,6,2,4,310,661,4,25,3.74,1.99,0.0,3.25,0.18,11,4,2.75
Marc-Andre Barriault,1471,1479,1474,0.09375,0.031,27.031,0.063,0.031,25.063,0.094,27.031,0.063,0.031,0.031,10,1,6,865,1813,1,8,5.98,0.21,0.31,5.58,0.1,32,14,2.29
Ryan MacDonald,1471,1471,1471,0.0,0.0,11.25,0.0,0.0,13.0,0.0,11.25,0.0,0.0,0.0,3,3,0,45,155,13,3,2.28,0.0,0.0,6.49,0.0,4,2,2.0
Jessamyn Duke,1471,1474,1472,0.0,0.6,22.9,0.4,0.6,29.9,0.0,22.9,0.4,0.6,0.2,0,0,0,229,431,13,11,4.83,1.27,0.0,4.43,1.9,10,4,2.5
Juan Adams,1471,1471,1471,0.0,0.0,22.125,0.25,0.0,45.0,0.0,22.125,0.25,0.0,0.0,5,0,0,234,420,2,3,7.09,0.91,0.0,4.06,0.0,8,4,2.0
Patrick Williams,1471,1471,1471,0.125,0.125,14.25,0.625,0.125,16.375,0.125,14.25,0.625,0.125,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,8,4,2.0
Gabriel Silva,1471,1471,1471,0.0,0.167,6.5,0.5,0.167,69.167,0.0,6.5,0.5,0.167,0.167,3,1,0,39,113,1,12,1.3,1.5,0.0,3.47,0.5,6,2,3.0
Yohan Lainesse,1471,1471,1471,0.142857143,0.143,9.429,0.286,0.143,17.0,0.143,9.429,0.286,0.143,0.0,6,0,5,71,172,2,7,2.22,0.94,0.94,3.38,0.47,7,4,1.75
Miranda Granger,1471,1461,1467,0.0,0.0,12.333,0.0,0.0,23.556,0.0,12.333,0.0,0.0,0.111,1,5,5,111,236,0,0,2.79,0.0,0.0,2.57,0.0,9,4,2.25
Jason Brilz,1471,1490,1478,0.0,0.375,11.563,0.688,0.375,117.125,0.0,11.563,0.688,0.375,0.188,0,0,0,185,459,13,44,2.66,2.37,0.0,1.78,1.29,16,7,2.29
Vince Morales,1471,1470,1471,0.083333333,0.0,18.208,0.125,0.0,11.458,0.083,18.208,0.125,0.0,0.042,7,5,5,491,1332,13,10,3.98,0.36,0.36,4.48,0.0,24,9,2.67
Dustin Hazelett,1471,1465,1468,0.0,1.0,8.133,0.133,1.0,23.0,0.0,8.133,0.133,1.0,0.067,0,0,0,122,302,13,4,2.24,0.55,0.0,3.51,4.14,15,10,1.5
Jeka Saragih,1471,1470,1470,0.25,0.0,5.5,0.25,0.0,16.75,0.25,5.5,0.25,0.0,0.0,9,4,8,0,0,0,0,3.56,1.59,0.34,3.45,0.57,8,6,1.33
Shana Dobson,1470,1470,1470,0.076923077,0.0,13.846,0.231,0.0,16.308,0.077,13.846,0.231,0.0,0.154,2,0,0,180,475,1,6,3.34,0.84,0.28,5.2,0.0,13,6,2.17
Dan Stittgen,1470,1470,1470,0.0,0.0,14.25,0.25,0.0,3.25,0.0,14.25,0.25,0.0,0.0,0,0,0,57,123,13,1,2.97,0.78,0.0,4.42,0.0,4,2,2.0
Kleydson Rodrigues,1470,1470,1470,0.125,0.125,17.375,0.25,0.125,31.75,0.125,17.375,0.25,0.125,0.25,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,8,4,2.0
George Roop,1470,1475,1472,0.064516129,0.032,15.194,0.258,0.032,68.742,0.065,15.194,0.258,0.032,0.032,0,0,0,589,1728,13,21,3.43,1.05,0.26,2.47,0.09,31,13,2.38
Damien Brown,1470,1475,1472,0.142857143,0.214,17.286,0.214,0.214,15.643,0.143,17.286,0.214,0.214,0.0,0,0,0,242,627,3,11,3.66,0.68,0.45,4.86,0.68,14,6,2.33
Jeremy Kimball,1470,1470,1470,0.25,0.0,7.5,0.25,0.0,21.5,0.25,7.5,0.25,0.0,0.0,0,0,0,30,64,1,5,2.81,1.41,1.41,3.84,0.0,4,4,1.0
Daniel Jolly,1470,1470,1470,0.0,0.0,3.0,0.0,0.0,18.5,0.0,3.0,0.0,0.0,0.0,0,0,0,14,30,13,6,1.32,2.83,0.0,3.39,0.0,2,2,1.0
Josh Koscheck,1470,1497,1481,0.076923077,0.135,8.231,0.769,0.135,106.327,0.077,8.231,0.769,0.135,0.019,0,0,0,437,1211,13,83,1.79,2.46,0.25,2.27,0.43,52,25,2.08
Rongzhu,1470,1470,1470,0.0,0.0,24.5,0.0,0.0,6.0,0.0,24.5,0.0,0.0,0.0,15,6,12,441,863,10,16,5.45,1.85,0.56,5.8,0.19,2,1,2.0
Matthew Lopez,1470,1470,1470,0.0,0.4,14.133,1.0,0.4,68.533,0.0,14.133,1.0,0.4,0.133,5,3,0,212,416,11,25,3.13,3.32,0.0,3.73,1.33,15,6,2.5
Suman Mokhtarian,1470,1470,1470,0.0,0.0,9.5,0.0,0.0,15.75,0.0,9.5,0.0,0.0,0.0,1,6,0,38,88,13,1,2.21,0.0,0.0,6.85,0.0,4,2,2.0
Marnic Mann,1470,1470,1470,0.0,0.167,6.5,0.333,0.167,34.5,0.0,6.5,0.333,0.167,0.167,3,1,2,58,140,13,15,1.47,1.9,0.0,5.08,0.38,6,2,3.0
Jessica Rakoczy,1470,1470,1470,0.0,0.25,12.5,0.25,0.25,95.0,0.0,12.5,0.25,0.25,0.25,0,0,0,50,112,13,5,2.5,0.75,0.0,3.55,0.75,4,2,2.0
Randy Costa,1470,1469,1470,0.333333333,0.0,19.333,0.0,0.0,21.667,0.333,19.333,0.0,0.0,0.0,6,0,0,174,376,13,1,6.53,0.0,1.69,7.58,0.0,9,6,1.5
Journey Newson,1470,1461,1466,0.076923077,0.077,10.846,0.154,0.077,9.231,0.077,10.846,0.154,0.077,0.0,3,3,2,141,433,13,12,2.64,0.56,0.28,2.57,0.28,13,6,2.17
Landon Quinones,1470,1470,1470,0.0,0.0,33.833,0.167,0.0,27.5,0.0,33.833,0.167,0.0,0.0,5,1,3,203,503,13,3,6.77,0.5,0.0,7.7,0.0,6,2,3.0
Dennis Buzukja,1470,1474,1472,0.1,0.0,19.4,0.0,0.0,16.4,0.1,19.4,0.0,0.0,0.1,5,1,4,300,690,13,11,4.21,0.63,0.42,4.82,0.21,10,4,2.5
Claudio Ribeiro,1470,1470,1470,0.125,0.0,11.5,0.125,0.0,35.25,0.125,11.5,0.125,0.0,0.0,11,0,8,96,185,13,2,3.59,0.56,1.12,4.9,0.0,8,4,2.0
Jordan Espinosa,1470,1468,1469,0.0,0.0,17.357,0.214,0.0,13.214,0.0,17.357,0.214,0.0,0.0,2,7,0,339,640,13,14,4.22,0.75,0.75,2.94,0.19,14,6,2.33
Devin Powell,1470,1470,1470,0.1,0.2,13.5,0.0,0.2,14.7,0.1,13.5,0.0,0.2,0.1,2,3,0,135,324,13,5,2.88,0.0,0.32,3.67,0.64,10,4,2.5
Tim Elliott,1470,1476,1472,0.040816327,0.306,16.347,1.224,0.306,92.98,0.041,16.347,1.224,0.306,0.143,3,7,6,831,1850,36,129,3.39,3.73,0.12,2.66,1.04,49,19,2.58
Rafael Alves,1470,1470,1470,0.1,0.4,7.9,0.1,0.4,23.5,0.1,7.9,0.1,0.4,0.1,7,8,9,95,194,13,4,1.85,0.29,0.29,3.3,1.46,10,4,2.5
Vik Grujic,1470,1470,1470,0.0,0.125,10.625,0.375,0.125,65.0,0.0,10.625,0.375,0.125,0.0,0,0,0,85,176,13,9,2.24,1.18,0.0,3.39,0.39,8,4,2.0
Luiz Dutra,1470,1470,1470,0.0,0.0,15.5,0.0,0.0,22.5,0.0,15.5,0.0,0.0,0.0,0,0,0,31,61,13,2,3.92,0.0,0.0,4.8,0.0,2,2,1.0
Hernani Perpetuo,1470,1470,1470,0.0,0.167,13.667,0.0,0.167,7.667,0.0,13.667,0.0,0.167,0.0,0,0,0,82,282,13,4,2.73,0.0,0.0,4.37,0.5,6,2,3.0
Ariane Lipski,1470,1509,1485,0.115384615,0.115,19.346,0.192,0.115,46.654,0.115,19.346,0.192,0.115,0.038,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,26,11,2.36
AJ Fletcher,1470,1505,1484,0.0,0.3,15.3,0.4,0.3,61.2,0.0,15.3,0.4,0.3,0.3,4,4,6,163,329,4,14,3.36,1.54,0.31,4.61,0.93,10,4,2.5
Pat Audinwood,1470,1470,1470,0.0,0.0,5.5,0.25,0.0,2.25,0.0,5.5,0.25,0.0,0.0,0,0,0,22,170,13,2,1.17,0.8,0.0,4.31,0.0,4,2,2.0
Victor Altamirano,1470,1463,1467,0.0625,0.0,20.563,0.875,0.0,54.5,0.063,20.563,0.875,0.0,0.0,2,4,4,429,802,1,47,4.58,2.88,0.16,3.82,0.0,16,6,2.67
Wagner Prado,1470,1470,1470,0.0,0.0,6.4,0.0,0.0,14.6,0.0,6.4,0.0,0.0,0.2,0,0,0,32,80,13,1,1.72,0.0,0.0,3.06,0.0,5,3,1.67
Joe Soto,1470,1470,1470,0.0,0.5,13.222,0.222,0.5,24.889,0.0,13.222,0.222,0.5,0.0,0,0,0,238,570,4,19,3.36,0.85,0.0,5.37,1.91,18,8,2.25
Liana Jojua,1470,1470,1470,0.0,0.375,10.625,0.5,0.375,35.625,0.0,10.625,0.5,0.375,0.0,1,6,0,85,282,2,6,2.42,1.71,0.0,5.32,1.28,8,4,2.0
Julie Kedzie,1470,1470,1470,0.0,0.0,13.667,0.333,0.0,49.167,0.0,13.667,0.333,0.0,0.0,0,0,0,152,418,13,17,2.9,1.14,0.86,3.18,0.0,6,2,3.0
Anthony Lapsley,1470,1470,1470,0.0,0.0,2.5,0.0,0.0,79.75,0.0,2.5,0.0,0.0,0.25,0,0,0,10,29,13,5,0.53,0.0,0.0,0.58,0.0,4,2,2.0
Rostem Akman,1470,1470,1470,0.0,0.0,9.0,0.333,0.0,33.833,0.0,9.0,0.333,0.0,0.0,5,1,0,54,210,2,5,1.8,1.0,0.0,3.97,0.0,6,2,3.0
Reuben Duran,1470,1474,1471,0.0,0.2,14.7,0.3,0.2,94.8,0.0,14.7,0.3,0.2,0.0,0,0,0,147,300,13,13,3.19,0.98,0.0,2.61,0.65,10,4,2.5
Christian Morecraft,1470,1470,1470,0.0,0.571,11.143,0.857,0.571,120.429,0.0,11.143,0.857,0.571,0.286,0,0,0,78,227,13,9,2.82,3.26,0.0,2.46,2.17,7,4,1.75
Mike de la Torre,1470,1516,1488,0.090909091,0.0,12.091,0.091,0.0,31.909,0.091,12.091,0.091,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,11,7,1.57
Michael Kuiper,1470,1470,1470,0.375,0.0,13.375,0.625,0.0,54.25,0.375,13.375,0.625,0.0,0.125,0,0,0,107,195,13,9,3.28,2.3,1.38,3.62,0.0,8,4,2.0
Jenel Lausa,1470,1470,1470,0.181818182,0.273,7.091,0.182,0.273,14.636,0.182,7.091,0.182,0.273,0.0,0,0,0,78,184,2,3,1.44,0.55,0.55,3.53,0.83,11,4,2.75
Dan Argueta,1470,1474,1471,0.0,0.467,11.933,1.4,0.467,117.667,0.0,11.933,1.4,0.467,0.2,2,4,5,179,412,1,59,2.48,4.36,0.0,3.44,1.45,15,6,2.5
Chris Tuchscherer,1470,1466,1468,0.0,0.143,4.857,0.286,0.143,51.714,0.0,4.857,0.286,0.143,0.0,0,0,0,34,107,13,11,1.35,1.19,0.0,3.17,0.59,7,4,1.75
Daniel Spitz,1470,1470,1470,0.0,0.0,11.667,0.222,0.0,7.333,0.0,11.667,0.222,0.0,0.0,2,3,0,105,292,2,3,2.6,0.74,0.0,5.3,0.0,9,4,2.25
Te Edwards,1470,1470,1470,0.2,0.0,5.6,0.2,0.0,150.0,0.2,5.6,0.2,0.0,0.0,0,0,0,31,74,13,1,1.5,0.72,1.45,4.15,0.0,5,2,2.5
Brendan O'Reilly,1470,1470,1470,0.0,0.2,9.0,0.7,0.2,92.1,0.0,9.0,0.7,0.2,0.3,0,0,0,90,190,13,16,1.9,2.22,0.0,2.77,0.63,10,4,2.5
Matt Van Buren,1470,1470,1470,0.0,0.0,25.5,0.0,0.0,6.5,0.0,25.5,0.0,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,4,2,2.0
Kwan Ho Kwak,1470,1470,1470,0.0,0.0,15.75,0.25,0.0,5.25,0.0,15.75,0.25,0.0,0.0,0,0,0,63,152,1,1,3.29,0.78,0.0,3.45,0.0,4,2,2.0
Elizabeth Phillips,1470,1470,1470,0.0,0.083,13.0,0.25,0.083,114.833,0.0,13.0,0.25,0.083,0.25,0,0,0,156,459,13,12,2.6,0.75,0.0,3.07,0.25,12,4,3.0
Bristol Marunde,1470,1470,1470,0.0,0.0,5.25,0.75,0.0,36.0,0.0,5.25,0.75,0.0,0.0,0,0,0,40,182,13,9,1.42,1.6,0.0,4.4,0.0,4,2,2.0
Dan Hardy,1470,1480,1474,0.115384615,0.115,11.692,0.231,0.115,45.0,0.115,11.692,0.231,0.115,0.0,0,0,0,304,860,13,17,2.46,0.73,0.36,3.44,0.36,26,10,2.6
Dong Hyun Ma,1469,1470,1470,0.052631579,0.0,12.368,0.368,0.0,42.158,0.053,12.368,0.368,0.0,0.053,0,0,0,424,865,39,89,2.12,2.93,0.3,1.89,0.6,19,8,2.38
Saimon Oliveira,1469,1469,1469,0.0,0.8,11.6,0.0,0.8,30.0,0.0,11.6,0.0,0.8,0.0,5,11,10,105,255,13,12,2.82,1.21,0.0,3.91,1.61,5,2,2.5
Kazula Vargas,1469,1484,1475,0.0,0.125,17.25,0.125,0.125,54.875,0.0,17.25,0.125,0.125,0.25,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,8,4,2.0
Brogan Walker,1469,1469,1469,0.0,0.0,9.833,0.0,0.0,23.333,0.0,9.833,0.0,0.0,0.167,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,6,2,3.0
Jason Miller,1469,1469,1469,0.0,0.222,6.333,0.222,0.222,28.111,0.0,6.333,0.222,0.222,0.111,0,0,0,85,255,2,24,1.45,1.02,0.0,4.51,1.28,9,3,3.0
Jason MacDonald,1469,1487,1477,0.0,0.478,5.652,0.348,0.478,81.13,0.0,5.652,0.348,0.478,0.174,0,0,0,130,246,13,49,1.55,1.43,0.0,2.7,1.97,23,14,1.64
Eduardo Garagorri,1469,1468,1469,0.0,0.0,15.286,0.143,0.0,20.286,0.0,15.286,0.143,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,7,3,2.33
Roman Salazar,1469,1464,1467,0.0,0.0,6.6,0.4,0.0,63.4,0.0,6.6,0.4,0.0,0.0,0,0,0,33,84,13,11,1.95,1.77,0.0,2.89,0.0,5,3,1.67
Kai Kamaka,1469,1492,1478,0.090909091,0.091,24.545,0.636,0.091,81.182,0.091,24.545,0.636,0.091,0.091,0,1,0,270,473,13,12,4.96,1.93,0.28,5.29,0.28,11,4,2.75
Marco Polo Reyes,1469,1469,1469,0.384615385,0.0,20.308,0.0,0.0,18.385,0.385,20.308,0.0,0.0,0.0,6,1,0,264,708,13,1,6.0,0.0,1.71,5.52,0.0,13,8,1.63
Elvis Mutapcic,1469,1469,1469,0.0,0.0,16.375,0.0,0.0,39.5,0.0,16.375,0.0,0.0,0.0,0,0,0,131,322,0,0,3.41,0.0,0.0,4.27,0.0,8,3,2.67
Eddie Gordon,1469,1469,1469,0.111111111,0.0,8.778,0.556,0.0,89.889,0.111,8.778,0.556,0.0,0.111,0,0,0,79,242,13,6,2.03,1.93,0.39,2.57,0.0,9,4,2.25
Leonardo Mafra,1469,1470,1469,0.0,0.111,17.889,0.556,0.111,45.889,0.0,17.889,0.556,0.111,0.0,0,0,0,161,332,13,6,4.55,2.12,0.0,4.38,0.42,9,4,2.25
Jacob Kilburn,1469,1469,1469,0.0,0.2,13.4,0.2,0.2,16.4,0.0,13.4,0.2,0.2,0.0,4,2,0,75,221,13,18,2.56,0.51,0.0,6.78,0.51,5,2,2.5
James McSweeney,1469,1469,1469,0.0,0.286,16.143,0.143,0.286,72.714,0.0,16.143,0.143,0.286,0.286,0,0,0,113,205,13,3,3.94,0.52,0.0,4.33,1.05,7,3,2.33
Tarec Saffiedine,1469,1485,1475,0.15,0.05,18.0,0.2,0.05,39.15,0.15,18.0,0.2,0.05,0.0,0,0,0,942,1963,4,22,4.05,0.52,0.26,3.06,0.13,20,6,3.33
