fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Paddy Pimblett,1585,1500,1551,0.181818182,0.636,22.182,0.273,0.636,66.727,0.182,22.182,0.273,0.636,0.0,6,10,0,244,459,13,12,4.94,0.91,0.61,3.75,2.13,11,6,1.83
Michael McDonald,1585,1498,1550,0.263157895,0.368,11.368,0.316,0.368,22.211,0.263,11.368,0.316,0.368,0.0,0,0,0,223,521,13,9,2.69,1.09,1.09,2.76,1.45,38,18,2.11
Jailton Almeida,1584,1521,1559,0.0,0.714,11.0,1.857,0.714,214.571,0.0,11.0,1.857,0.714,0.071,7,13,15,156,242,2,49,2.46,6.85,0.0,0.72,2.6,14,8,1.75
Kyoji Horiguchi,1584,1483,1544,0.173913043,0.0,17.652,0.652,0.0,59.0,0.174,17.652,0.652,0.0,0.0,0,0,0,406,900,13,34,3.6,2.0,0.53,2.45,0.0,23,8,2.88
Shavkat Rakhmonov,1583,1563,1575,0.0625,0.375,15.25,0.438,0.375,139.75,0.063,15.25,0.438,0.375,0.063,8,10,9,207,339,2,17,4.12,1.49,0.3,2.41,1.79,16,7,2.29
Alexander Volkov,1583,1526,1560,0.085106383,0.043,24.213,0.213,0.043,25.319,0.085,24.213,0.213,0.043,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,47,17,2.76
Cory Sandhagen,1583,1569,1578,0.090909091,0.091,22.955,0.364,0.091,57.636,0.091,22.955,0.364,0.091,0.068,7,3,6,1010,2271,1,50,5.02,1.19,0.3,3.46,0.3,44,14,3.14
Edson Barboza,1583,1542,1567,0.197530864,0.025,18.58,0.136,0.025,15.259,0.198,18.58,0.136,0.025,0.0,14,0,8,1505,3411,7,22,4.11,0.45,0.66,4.65,0.08,81,30,2.7
Gregor Gillespie,1582,1498,1549,0.142857143,0.214,15.786,1.929,0.214,181.786,0.143,15.786,1.929,0.214,0.071,8,5,0,221,418,17,56,3.74,6.86,0.51,2.3,0.76,14,8,1.75
Yoel Romero,1582,1567,1576,0.23255814,0.0,15.512,0.488,0.0,34.163,0.233,15.512,0.488,0.0,0.0,11,0,0,693,1412,20,69,3.44,1.57,0.75,3.05,0.0,43,13,3.31
Yan Xiaonan,1582,1517,1556,0.054054054,0.0,24.297,0.297,0.0,25.027,0.054,24.297,0.297,0.0,0.027,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,37,12,3.08
Giga Chikadze,1582,1497,1548,0.24,0.08,18.76,0.08,0.08,7.6,0.24,18.76,0.08,0.08,0.12,9,1,9,572,1348,1,6,3.92,0.21,0.62,3.5,0.21,25,9,2.78
Randy Brown,1582,1539,1565,0.108695652,0.174,19.196,0.239,0.174,44.348,0.109,19.196,0.239,0.174,0.087,7,5,4,823,1751,5,23,4.38,0.72,0.4,3.2,0.64,46,19,2.42
Fabricio Werdum,1581,1532,1561,0.090909091,0.136,20.227,0.364,0.136,49.045,0.091,20.227,0.364,0.136,0.068,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,44,18,2.44
Mario Bautista,1581,1498,1547,0.043478261,0.261,23.565,0.565,0.261,69.783,0.043,23.565,0.565,0.261,0.043,3,6,5,542,1149,1,39,5.33,1.92,0.15,3.91,0.89,23,11,2.09
Henry Cejudo,1580,1530,1560,0.125,0.05,17.775,0.625,0.05,62.975,0.125,17.775,0.625,0.05,0.0,8,0,5,711,1520,19,77,3.77,1.99,0.4,3.29,0.16,40,14,2.86
Rani Yahya,1580,1519,1556,0.0,0.451,8.627,0.804,0.451,103.98,0.0,8.627,0.804,0.451,0.137,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,51,21,2.43
Zabit Magomedsharipov,1580,1479,1539,0.0,0.25,23.75,1.688,0.25,94.563,0.0,23.75,1.688,0.25,0.188,6,7,0,380,784,23,48,4.89,5.22,0.0,3.0,0.77,16,6,2.67
Arman Tsarukyan,1579,1536,1562,0.1,0.0,17.5,1.0,0.0,112.667,0.1,17.5,1.0,0.0,0.033,9,5,8,525,1073,3,81,3.79,3.25,0.32,1.84,0.0,30,11,2.73
Michel Prazeres,1578,1509,1551,0.054054054,0.189,11.0,1.216,0.189,90.541,0.054,11.0,1.216,0.189,0.054,2,10,0,407,863,41,125,2.38,3.94,0.18,2.51,0.61,37,14,2.64
Chris Weidman,1578,1551,1568,0.104166667,0.229,13.042,0.917,0.229,81.188,0.104,13.042,0.917,0.229,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,48,20,2.4
Petr Yan,1578,1570,1575,0.2,0.04,24.72,0.52,0.04,43.46,0.2,24.72,0.52,0.04,0.06,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,50,14,3.57
Raphael Assuncao,1577,1537,1561,0.040816327,0.041,16.041,0.49,0.041,36.163,0.041,16.041,0.49,0.041,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,49,19,2.58
Raquel Pennington,1576,1534,1560,0.016949153,0.203,20.22,0.271,0.203,67.475,0.017,20.22,0.271,0.203,0.051,1,4,0,1193,2426,11,58,4.1,0.83,0.05,3.32,0.62,59,19,3.11
Phil Davis,1576,1516,1552,0.0,0.171,13.857,0.886,0.171,97.629,0.0,13.857,0.886,0.171,0.0,0,0,0,485,1406,13,87,2.87,2.76,0.0,1.39,0.53,35,13,2.69
Jim Miller,1576,1519,1553,0.06,0.49,13.0,0.44,0.49,55.48,0.06,13.0,0.44,0.49,0.06,7,21,16,1300,3085,36,99,2.99,1.52,0.21,3.51,1.69,100,45,2.22
Rinat Fakhretdinov,1575,1529,1556,0.230769231,0.077,19.538,1.385,0.077,176.385,0.231,19.538,1.385,0.077,0.077,11,6,13,363,688,5,58,4.78,3.95,0.59,3.58,0.2,13,5,2.6
Renato Moicano,1575,1530,1557,0.027027027,0.162,19.189,0.541,0.162,59.351,0.027,19.189,0.541,0.162,0.0,0,10,4,710,1443,6,45,4.42,1.87,0.09,3.6,0.56,37,17,2.18
Drakkar Klose,1575,1501,1545,0.068965517,0.0,20.069,0.483,0.0,65.897,0.069,20.069,0.483,0.0,0.034,6,0,3,582,1051,8,53,4.37,1.58,0.23,3.46,0.0,29,11,2.64
Carlos Ulberg,1575,1476,1535,0.333333333,0.067,29.333,0.2,0.067,13.333,0.333,29.333,0.2,0.067,0.0,7,2,6,450,793,2,4,7.2,0.72,1.44,4.27,0.24,15,8,1.88
Tatsuro Taira,1575,1494,1543,0.111111111,0.5,13.722,0.833,0.5,145.278,0.111,13.722,0.833,0.5,0.167,5,7,8,247,410,1,34,2.99,2.73,0.36,2.69,1.64,18,7,2.57
Dong Hyun Kim,1575,1503,1546,0.088888889,0.178,9.422,0.867,0.178,131.444,0.089,9.422,0.867,0.178,0.044,0,0,0,424,865,39,89,2.12,2.93,0.3,1.89,0.6,45,18,2.5
Michael Morales,1574,1528,1556,0.363636364,0.0,27.182,0.091,0.0,17.0,0.364,27.182,0.091,0.0,0.091,12,0,8,352,726,13,12,5.42,1.16,0.92,3.42,0.0,11,5,2.2
